game_date,athlete_display_name,team_name,minutes,field_goals_made,field_goals_attempted,three_point_field_goals_made,three_point_field_goals_attempted,free_throws_made,free_throws_attempted,offensive_rebounds,defensive_rebounds,rebounds,assists,steals,blocks,turnovers,fouls,plus_minus,points,starter,ejected,did_not_play,home_away,team_winner
10/10/2025,NaLyssa Smith,Aces,23,2,4,0,0,1,2,4,1,5,0,1,0,2,4,16,5,TRUE,FALSE,FALSE,away,TRUE
10/10/2025,Kierstan Bell,Aces,7,1,1,1,1,0,0,0,1,1,0,1,0,0,0,-1,3,TRUE,FALSE,FALSE,away,TRUE
10/10/2025,A'ja Wilson,Aces,36,7,21,0,2,17,19,1,8,9,4,2,3,2,3,3,31,TRUE,FALSE,FALSE,away,TRUE
10/10/2025,Chelsea Gray,Aces,38,6,15,4,9,2,4,0,4,4,4,2,2,0,2,9,18,TRUE,FALSE,FALSE,away,TRUE
10/10/2025,Jackie Young,Aces,35,5,14,1,6,7,8,2,5,7,8,1,0,2,0,1,18,TRUE,FALSE,FALSE,away,TRUE
10/10/2025,Kiah Stokes,Aces,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,0,FALSE,FALSE,FALSE,away,TRUE
10/10/2025,Megan Gustafson,Aces,9,0,0,0,0,0,0,0,1,1,0,0,0,0,1,7,0,FALSE,FALSE,FALSE,away,TRUE
10/10/2025,Jewell Loyd,Aces,31,4,10,4,8,0,0,3,1,4,1,1,1,1,3,18,12,FALSE,FALSE,FALSE,away,TRUE
10/10/2025,Dana Evans,Aces,21,3,7,2,5,2,2,0,1,1,2,0,0,0,3,4,10,FALSE,FALSE,FALSE,away,TRUE
10/10/2025,Cheyenne Parker-Tyus,Aces,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,TRUE,away,TRUE
10/10/2025,Aaliyah Nye,Aces,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,TRUE,away,TRUE
10/10/2025,DeWanna Bonner,Mercury,35,4,10,1,2,1,1,1,9,10,1,0,1,0,4,-5,10,TRUE,FALSE,FALSE,home,FALSE
10/10/2025,Alyssa Thomas,Mercury,40,7,11,0,0,3,3,3,9,12,10,0,0,9,3,-11,17,TRUE,FALSE,FALSE,home,FALSE
10/10/2025,Natasha Mack,Mercury,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-1,0,TRUE,FALSE,FALSE,home,FALSE
10/10/2025,Kahleah Copper,Mercury,36,12,22,0,4,6,7,1,5,6,1,0,0,3,6,-7,30,TRUE,FALSE,FALSE,home,FALSE
10/10/2025,Monique Akoa Makani,Mercury,29,3,7,1,3,3,3,1,4,5,4,2,0,3,2,-13,10,TRUE,FALSE,FALSE,home,FALSE
10/10/2025,Kathryn Westbeld,Mercury,16,1,4,1,4,0,0,1,2,3,0,0,1,1,3,-14,3,FALSE,FALSE,FALSE,home,FALSE
10/10/2025,Kalani Brown,Mercury,18,3,6,0,0,4,5,1,3,4,0,1,2,2,4,0,10,FALSE,FALSE,FALSE,home,FALSE
10/10/2025,Sami Whitcomb,Mercury,17,1,4,1,4,0,0,0,0,0,1,0,1,0,1,-7,3,FALSE,FALSE,FALSE,home,FALSE
10/10/2025,Lexi Held,Mercury,7,1,1,1,1,0,0,0,1,1,0,0,0,0,0,3,3,FALSE,FALSE,FALSE,home,FALSE
10/10/2025,Satou Sabally,Mercury,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,TRUE,home,FALSE
10/10/2025,Kitija Laksa,Mercury,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,TRUE,home,FALSE
10/10/2025,Kiana Williams,Mercury,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,TRUE,home,FALSE
