athlete_display_name,team_name,game_date,minutes,points,rebounds,assists,steals,blocks,turnovers,field_goals_made,field_goals_attempted,three_point_field_goals_made,three_point_field_goals_attempted,free_throws_made,free_throws_attempted,team_winner,home_away,fg_pct,three_pt_pct,ft_pct
NaLyssa Smith,Aces,2025-10-10,23.0,5.0,5,0,1,0,2,2,4,0,0,1.0,2,True,away,0.5,0.24,0.5
Kierstan Bell,Aces,2025-10-10,7.0,3.0,1,0,1,0,0,1,1,1,1,0.0,0,True,away,1.0,1.0,0.75
A'ja Wilson,Aces,2025-10-10,36.0,31.0,9,4,2,3,2,7,21,0,2,17.0,19,True,away,0.3333333333333333,0.0,0.8947368421052632
Chelsea Gray,Aces,2025-10-10,38.0,18.0,4,4,2,2,0,6,15,4,9,2.0,4,True,away,0.4,0.4444444444444444,0.5
Jackie Young,Aces,2025-10-10,35.0,18.0,7,8,1,0,2,5,14,1,6,7.0,8,True,away,0.35714285714285715,0.16666666666666666,0.875
Kiah Stokes,Aces,2025-10-10,1.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,True,away,0.3108843537414966,0.14705882352941177,0.625
Megan Gustafson,Aces,2025-10-10,9.0,0.0,1,0,0,0,0,0,0,0,0,0.0,0,True,away,0.37866666666666665,0.32575757575757575,0.5166666666666667
Jewell Loyd,Aces,2025-10-10,31.0,12.0,4,1,1,1,1,4,10,4,8,0.0,0,True,away,0.4,0.5,0.8172222222222222
Dana Evans,Aces,2025-10-10,21.0,10.0,1,2,0,0,0,3,7,2,5,2.0,2,True,away,0.42857142857142855,0.4,1.0
Cheyenne Parker-Tyus,Aces,2025-10-10,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,True,away,0.3714285714285714,0.4,0.8125
Aaliyah Nye,Aces,2025-10-10,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,True,away,0.298234126984127,0.24211711711711714,0.84375
DeWanna Bonner,Mercury,2025-10-10,35.0,10.0,10,1,0,1,0,4,10,1,2,1.0,1,False,home,0.4,0.5,1.0
Alyssa Thomas,Mercury,2025-10-10,40.0,17.0,12,10,0,0,9,7,11,0,0,3.0,3,False,home,0.6363636363636364,0.0,1.0
Natasha Mack,Mercury,2025-10-10,2.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,False,home,0.5475803329461866,0.0,0.48148148148148157
Kahleah Copper,Mercury,2025-10-10,36.0,30.0,6,1,0,0,3,12,22,0,4,6.0,7,False,home,0.5454545454545454,0.0,0.8571428571428571
Monique Akoa Makani,Mercury,2025-10-10,29.0,10.0,5,4,2,0,3,3,7,1,3,3.0,3,False,home,0.42857142857142855,0.3333333333333333,1.0
Kathryn Westbeld,Mercury,2025-10-10,16.0,3.0,3,0,0,1,1,1,4,1,4,0.0,0,False,home,0.25,0.25,0.7645833333333334
Kalani Brown,Mercury,2025-10-10,18.0,10.0,4,0,1,2,2,3,6,0,0,4.0,5,False,home,0.5,0.42857142857142855,0.8
Sami Whitcomb,Mercury,2025-10-10,17.0,3.0,0,1,0,1,0,1,4,1,4,0.0,0,False,home,0.25,0.25,0.8087121212121211
Lexi Held,Mercury,2025-10-10,7.0,3.0,1,0,0,0,0,1,1,1,1,0.0,0,False,home,1.0,1.0,0.8214285714285714
Satou Sabally,Mercury,2025-10-10,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,False,home,0.41027507292592275,0.31756118031628233,0.8454215406343062
Kitija Laksa,Mercury,2025-10-10,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,False,home,0.2826033443680502,0.2387085137085137,0.7515151515151515
Kiana Williams,Mercury,2025-10-10,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,False,home,0.40410052910052907,0.25272108843537416,0.5
NaLyssa Smith,Aces,2025-10-08,17.0,2.0,7,1,0,1,0,1,4,0,0,0.0,0,True,away,0.25,0.24,0.5490514905149052
Kierstan Bell,Aces,2025-10-08,11.0,0.0,0,0,1,1,0,0,2,0,2,0.0,0,True,away,0.0,0.0,0.75
A'ja Wilson,Aces,2025-10-08,38.0,34.0,14,4,0,3,3,11,20,1,2,11.0,12,True,away,0.55,0.5,0.9166666666666666
Chelsea Gray,Aces,2025-10-08,39.0,11.0,2,5,3,3,1,4,11,1,4,2.0,3,True,away,0.36363636363636365,0.25,0.6666666666666666
Jackie Young,Aces,2025-10-08,37.0,21.0,3,9,2,0,0,7,18,1,7,6.0,6,True,away,0.3888888888888889,0.14285714285714285,1.0
Kiah Stokes,Aces,2025-10-08,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,True,away,0.3108843537414966,0.14705882352941177,0.625
Megan Gustafson,Aces,2025-10-08,11.0,0.0,2,0,1,0,2,0,1,0,0,0.0,0,True,away,0.0,0.32575757575757575,0.5166666666666667
Jewell Loyd,Aces,2025-10-08,30.0,16.0,7,1,1,0,2,4,7,4,7,4.0,4,True,away,0.5714285714285714,0.5714285714285714,1.0
Dana Evans,Aces,2025-10-08,16.0,6.0,1,1,0,0,0,2,5,2,2,0.0,0,True,away,0.4,1.0,0.8
